,user_id,movie_id,rating,timestamp,SVD++_rate,NCF_rate,RNN4REC_rate,ALS_rate
0,1,6,5,887431973,5,4,5,3
1,1,10,3,875693118,4,5,4,3
2,1,12,5,878542960,4,3,5,4
3,1,14,5,874965706,4,5,4,4
4,1,17,3,875073198,4,4,4,3
5,1,20,4,887431883,4,3,4,4
6,1,23,4,875072895,4,4,5,5
7,1,24,3,875071713,3,3,4,4
8,1,27,2,876892946,3,2,3,3
9,1,31,3,875072144,3,3,4,4
10,1,33,4,878542699,4,3,4,3
11,1,36,2,875073180,2,4,3,2
12,1,39,4,875072173,3,2,3,3
13,1,44,5,878543541,3,5,4,3
14,1,47,4,875072125,3,4,4,4
15,1,49,3,878542478,3,3,4,3
16,1,51,4,878543275,3,4,4,3
17,1,53,3,876893206,3,4,4,3
18,1,54,3,878543308,3,4,4,3
19,1,56,4,875072716,3,4,5,5
20,1,60,5,875072370,4,4,4,4
21,1,61,4,878542420,3,4,4,4
22,1,62,3,878542282,3,3,4,2
23,1,64,5,875072404,4,5,5,4
24,1,65,4,875072125,4,3,4,3
25,1,67,3,876893054,3,4,4,3
26,1,69,3,875072262,3,3,4,4
27,1,70,3,875072895,4,4,4,5
28,1,72,4,878542678,3,2,4,2
29,1,73,3,876892774,3,4,4,3
30,1,74,1,889751736,2,3,3,1
31,1,76,4,878543176,3,3,4,3
32,1,78,1,878543176,3,2,4,1
33,1,80,4,876893008,3,2,3,3
34,1,81,5,875072865,3,3,4,3
35,1,82,5,878542589,3,3,4,3
36,1,84,4,875072923,2,2,3,2
37,1,85,3,875073180,3,3,3,3
38,1,86,5,878543541,4,3,4,4
39,1,90,4,878542300,3,3,4,4
40,1,91,5,876892636,4,3,4,4
41,1,92,3,876892425,3,4,4,4
42,1,96,5,875072716,4,4,5,4
43,1,97,3,875073128,3,4,4,2
44,1,98,4,875072404,4,5,4,4
45,1,100,5,878543541,4,5,4,4
46,1,102,2,889751736,3,3,3,2
47,1,103,1,878542845,3,3,3,2
49,1,107,4,875241619,4,5,4,3
50,1,108,5,875240920,3,2,3,3
51,1,112,1,878542441,3,3,4,2
52,1,113,5,878542738,4,4,5,2
53,1,114,5,875072173,4,3,5,4
54,1,117,3,874965739,4,5,4,5
55,1,118,3,875071927,3,3,4,2
56,1,120,1,875241637,2,2,3,1
57,1,121,4,875071823,3,3,4,2
58,1,125,3,878542960,3,4,4,4
59,1,128,4,875072573,3,2,3,3
60,1,129,5,887431908,4,4,4,4
61,1,130,3,875072002,2,3,2,2
62,1,132,4,878542889,4,5,5,4
63,1,134,4,875073067,4,3,5,4
64,1,140,1,878543133,3,3,4,3
65,1,143,1,875072631,4,4,4,4
66,1,145,2,875073067,2,4,3,2
67,1,148,2,875240799,3,3,4,3
68,1,150,5,876892196,4,3,4,4
69,1,151,4,875072865,3,3,4,4
70,1,154,5,878543541,4,4,4,4
71,1,155,2,878542201,3,5,4,3
72,1,157,4,876892918,3,4,4,4
73,1,159,3,875073180,3,3,4,4
74,1,160,4,875072547,3,2,4,3
75,1,161,4,875072303,3,3,4,3
76,1,163,4,875072442,4,4,5,4
77,1,164,3,876893171,3,5,4,3
78,1,170,5,876892856,5,4,5,4
